ai								artificial intelligence
al								artificial language
cfg								configuration
cod								code
com								communication
construction site struct.site
db								database
dev								device
doc								documentation
dst								destination
excl							exclusion
exo								external
incl							inclusion
lib								library
lic								licence
lic								license
log								journal
lst								list
mach							machine
math							mathematica
mem								memory
misc							miscellaneous
ndx								index
net								network
nr								number
ntt								entity
pc								(personal) computer
ram								memory
rcp								recipe
rx								receive
rx								reception
si								synthetic intelligence
sl								synthetic language
src								source
str								string
sys								system
tx								transmission
tx								transmit
txt								text
var								variable
